Date,Team,Notes,Status,Player
2000-01-08,Hawks,bruised left elbow & tailbone (out 2-3 weeks),Relinquished,Chris Crawford (Lee)
2000-01-12,Grizzlies,placed on IL with sprained left ankle,Relinquished,Obinna Ekezie
2000-01-14,Hawks,bruised left elbow & tailbone (DNP),Relinquished,Chris Crawford (Lee)
2000-01-18,Pacers,sprained left ankle (DTD),Relinquished,Al Harrington
2000-01-19,Pacers,sprained left ankle (DNP),Relinquished,Al Harrington
2000-01-25,Hawks,bruised tailbone (DNP),Relinquished,Chris Crawford (Lee)
2000-02-01,Pacers,placed on IL with sprained lower back,Relinquished,Al Harrington
2000-02-06,Knicks,partially torn ACL in right knee (DTD),Relinquished,Marcus Camby
2000-02-07,Knicks,partially torn ACL in right knee (DNP),Relinquished,Marcus Camby
2000-02-08,Knicks,arthroscopic surgery on right knee revealed sprained ACL,Relinquished,Marcus Camby
2000-02-09,Knicks,placed on IR with sprained ACL in right knee,Relinquished,Marcus Camby
2000-02-18,Blazers,stomach flu (DNP),Relinquished,Bonzi Wells
2000-02-21,Pacers,activated from IL,Acquired,Al Harrington
2000-02-26,Grizzlies,activated from IL,Acquired,Obinna Ekezie
2000-02-28,Pacers,placed on IL with strained left calf,Relinquished,Al Harrington
2000-03-11,Suns,"torn ACL, MCL in left knee (out indefinitely)",Relinquished,Tom Gugliotta
2000-03-13,Suns,"placed on IL with torn ACL, MCL in left knee",Relinquished,Tom Gugliotta
2000-03-14,Knicks,activated from IL,Acquired,Marcus Camby
2000-03-17,Pacers,activated from IL,Acquired,Al Harrington
2000-03-17,Suns,"surgery on left knee to repair torn ACL, MCL",Relinquished,Tom Gugliotta
2000-03-25,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-03-28,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-01,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-04,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-05,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-06,Pacers,placed on IL with sore back,Relinquished,Al Harrington
2000-04-07,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-08,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-10,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-12,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-14,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-16,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-18,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-18,Knicks,placed on IL with sprained right knee,Relinquished,Marcus Camby
2000-04-19,Hawks,sprained left ankle (DNP),Relinquished,Chris Crawford (Lee)
2000-04-21,Knicks,activated from IL,Acquired,Marcus Camby
2000-10-22,76ers,torn ACL in left knee (out for season),Relinquished,Craig Claxton / Speedy Claxton
2000-10-30,76ers,placed on IL with torn ACL in left knee (out for season),Relinquished,Craig Claxton / Speedy Claxton
2000-10-30,Suns,"placed on IL recovering from surgery on left knee to repair torn ACL, MCL",Relinquished,Tom Gugliotta
2000-11-11,Pacers,sprained right ankle (DNP),Relinquished,Al Harrington
2000-11-15,Pacers,sprained right ankle (DNP),Relinquished,Al Harrington
2000-11-17,Pacers,sprained right ankle (DNP),Relinquished,Al Harrington
