Date,Team,Notes,Status,Player
2000-02-06,Knicks,partially torn ACL in right knee (DTD),Relinquished,Marcus Camby
2000-02-07,Knicks,partially torn ACL in right knee (DNP),Relinquished,Marcus Camby
2000-02-08,Knicks,arthroscopic surgery on right knee revealed sprained ACL,Relinquished,Marcus Camby
2000-02-09,Knicks,placed on IR with sprained ACL in right knee,Relinquished,Marcus Camby
2000-03-11,Suns,"torn ACL, MCL in left knee (out indefinitely)",Relinquished,Tom Gugliotta
2000-03-13,Suns,"placed on IL with torn ACL, MCL in left knee",Relinquished,Tom Gugliotta
2000-03-17,Suns,"surgery on left knee to repair torn ACL, MCL",Relinquished,Tom Gugliotta
2000-10-22,76ers,torn ACL in left knee (out for season),Relinquished,Craig Claxton / Speedy Claxton
2000-10-30,76ers,placed on IL with torn ACL in left knee (out for season),Relinquished,Craig Claxton / Speedy Claxton
2000-10-30,Suns,"placed on IL recovering from surgery on left knee to repair torn ACL, MCL",Relinquished,Tom Gugliotta
2001-04-10,Blazers,placed on IL with torn ACL in left knee (out for season),Relinquished,Bonzi Wells
2001-07-18,Bulls,torn ACL in left knee,Relinquished,Jamal Crawford
2001-10-01,Bulls,torn ACL in left knee (out indefinitely) (date approximate),Relinquished,Jamal Crawford
2001-10-29,Bulls,placed on IL with torn ACL in left knee,Relinquished,Jamal Crawford
2001-11-10,Hawks,torn ACL in left knee (out for season),Relinquished,Chris Crawford (Lee)
2001-11-13,Hawks,placed on IL with a torn ACL in left knee,Relinquished,Chris Crawford (Lee)
2002-01-09,Hawks,placed on IL with a torn ACL in left knee,Relinquished,Chris Crawford (Lee)
2002-01-24,Pacers,torn ACL in right knee (out for season),Relinquished,Al Harrington
2002-01-25,Pacers,surgery on right knee to repair torn ACL,Relinquished,Al Harrington
2002-01-25,Pacers,placed on IL with torn ACL in right knee,Relinquished,Al Harrington
2002-04-18,Celtics,partially torn ACL in left knee (out indefinitely),Relinquished,Vitaly Potapenko
2002-04-25,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-04-28,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-01,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-03,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-05,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-08,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-10,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-12,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-14,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-19,Celtics,surgery on left knee to repair partially torn ACL (out 6-8 months),Relinquished,Vitaly Potapenko
2002-05-19,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-21,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
2002-05-25,Celtics,partially torn ACL in left knee (DNP),Relinquished,Vitaly Potapenko
