Date,Team,Notes,Status,Player
3/11/24,Hawks,placed on IL with torn ACL in left knee (out for season),Relinquished,Saddiq Bey
12/11/23,Spurs,placed on IL with torn ACL in left knee (out for season),Relinquished,Charles Bassey
10/8/23,Celtics,torn ACL in knee (out for season),Relinquished,Jay Scrubb
8/5/23,Nuggets,torn ACL in left knee (out for season),Relinquished,Vlatko Cancar
8/2/23,76ers,torn ACL in knee (out indefinitely),Relinquished,Montrezl Harrell
10/19/22,Cavaliers,placed on IL recovering from torn ACL in left knee,Relinquished,Ricky Rubio
9/23/22,Celtics,surgery on left knee to repair torn ACL (out for season),Relinquished,Danilo Gallinari
9/2/22,Celtics,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
7/11/22,Pelicans,torn ACL in right knee (out for season),Relinquished,E.J. Liddell
3/23/22,Pistons,surgery on left knee to repair torn ACL (out for season) (date approximate),Relinquished,(Sean) Chris Smith
1/31/22,Jazz,torn ACL in left knee (out for season),Relinquished,Joe Ingles
12/29/21,Cavaliers,placed on IL with torn ACL in left knee (out for season),Relinquished,Ricky Rubio
12/9/21,Pelicans,torn ACL in right knee (out for season),Relinquished,Kira Lewis Jr.
12/9/21,Pelicans,placed on IL with torn ACL in right knee (out for season),Relinquished,Kira Lewis Jr.
11/24/21,Nuggets,placed on IL with torn ACL in left knee,Relinquished,P.J. Dozier
10/19/21,Magic,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jonathan Isaac
10/19/21,Magic,placed on IL with recovering from surgery on left knee to repair torn ACL,Relinquished,Markelle Fultz
10/19/21,Wizards,placed on IL with recovering from surgery on left knee to repair torn ACL,Relinquished,Thomas Bryant
7/7/21,Suns,torn ACL in right knee (out for season),Relinquished,Dario Saric
7/7/21,Suns,placed on IL with torn ACL in right knee (out for season),Relinquished,Dario Saric
4/13/21,Nuggets,placed on IL with torn ACL in left knee (out for season),Relinquished,Jamal Murray
1/10/21,Wizards,torn ACL in left knee (out for season),Relinquished,Thomas Bryant
1/6/21,Magic,torn ACL in left knee (out for season),Relinquished,Markelle Fultz
12/28/20,Nets,placed on IL with torn ACL in right knee (out for season),Relinquished,Spencer Dinwiddie
12/23/20,Pacers,placed on IL with recovering from surgery on left knee to repair torn ACL,Relinquished,Jeremy Lamb
12/1/20,Pacers,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Jeremy Lamb
8/2/20,Magic,torn ACL in left knee (out for season),Relinquished,Jonathan Isaac
2/24/20,Pacers,torn ACL in left knee (out for season),Relinquished,Jeremy Lamb
12/23/19,Bulls,torn ACL in left knee (out for season),Relinquished,Max Strus
10/22/19,Lakers,placed on IL recovering from surery on left knee to repair torn ACL,Relinquished,DeMarcus Cousins
6/14/19,Warriors,torn ACL in left knee (out for season),Relinquished,Klay Thompson
10/7/18,Spurs,torn ACL in right knee (out for season),Acquired,Dejounte Murray
3/8/18,Spurs,sprained ACL in right knee (DTD),Relinquished,Pau Gasol
2/6/18,Knicks,torn ACL in left knee (out for season),Relinquished,Kristaps Porzingis
10/18/17,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Jabari Parker
9/18/17,Raptors,torn ACL in knee (out indefinitely),Relinquished,Ogugua Anunoby / O.G. Anunoby
7/25/17,Suns,torn ACL in left knee (out for season),Relinquished,Brandon Knight
4/15/17,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
4/10/17,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
2/15/17,Bucks,surgery on left knee to repair torn ACL (out for season),Relinquished,Jabari Parker
2/10/17,Bucks,placed on IL with torn ACL in left knee,Relinquished,Jabari Parker
2/8/17,Bucks,torn ACL in left knee (out for season),Relinquished,Jabari Parker
2/3/17,Timberwolves,torn ACL in left knee (out for season),Relinquished,Zach LaVine
12/16/16,Cavaliers,torn ACL in right knee (out for season),Relinquished,Chris Andersen
1/3/16,Nets,torn ACL in right knee (out for season),Relinquished,Jarrett Jack
10/28/15,Bucks,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Jabari Parker
8/6/15,Jazz,torn ACL in left knee (out indefinitely),Relinquished,Dante Exum
1/23/15,76ers,placed on IL with torn ACL in right knee (out for season),Relinquished,Tony Wroten Jr.
1/17/15,Bucks,torn ACL in right knee (out for season),Relinquished,Kendall Marshall
1/17/15,Bucks,surgery on right knee to repair torn ACL (out for season),Relinquished,Kendall Marshall
12/16/14,Bucks,torn ACL in left knee (out for season),Relinquished,Jabari Parker
4/15/14,Nuggets,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
3/22/14,Nuggets,torn ACL in right knee (out indefinitely),Relinquished,J.J. Hickson
1/31/14,Nuggets,torn ACL in left knee (out indefinitely),Relinquished,Nate Robinson
1/31/14,Nuggets,surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Nate Robinson
1/21/14,Nuggets,surgery on left knee to reconstruct ACL (out for season),Relinquished,Danilo Gallinari
11/2/13,Jazz,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Brandon Rush
11/1/13,Jazz,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Brandon Rush
10/30/13,Jazz,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Brandon Rush
10/30/13,Celtics,placed on IL recovering from surgery on left / right (P) knee to repair torn ACL,Relinquished,Rajon Rondo
10/29/13,Celtics,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Rajon Rondo
4/5/13,Nuggets,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
2/12/13,Celtics,torn ACL in left knee (out for season),Relinquished,Leandro Barbosa
1/27/13,Celtics,torn ACL in right knee (DNP),Relinquished,Rajon Rondo
