Date,Team,Acquired,Relinquished,Notes
2000-01-03,Bulls,,Fred Hoiberg,placed on IL with strained left quadricep tendon
2000-01-03,Bulls,Randy Brown,,activated from IL
2000-01-03,Celtics,,Dana Barros,flu (DNP)
2000-01-03,Warriors,,Chris Mills,bone spurs in right ankle (DNP)
2000-01-03,Warriors,Daron Blaylock / Mookie Blaylock,,activated from IL
2000-01-04,Celtics,,Dana Barros,flu (DNP)
2000-01-04,Grizzlies,,Cherokee Parks,pulled right groin (DNP)
2000-01-04,Grizzlies,,Dennis Scott,strained left calf (DNP)
2000-01-04,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-04,Nets,,Kendall Gill,sore neck (DNP)
2000-01-04,Raptors,,Dee Brown (a),knee injury (DNP)
2000-01-04,Rockets,,Kelvin Cato,sprained right wrist (DNP)
2000-01-05,Bulls,,Randy Brown,sore left knee (DNP)
2000-01-05,Bulls,Toni Kukoc,,activated from IL
2000-01-05,Cavaliers,Trajan Langdon,,activated from IL
2000-01-05,Grizzlies,,Cherokee Parks,placed on IL with strained right groin
2000-01-05,Grizzlies,,Dennis Scott,strained left calf (DNP)
2000-01-05,Grizzlies,Antoine Carr,,activated from IL
2000-01-05,Hornets,,Eddie Jones,torn ligament in left elbow (DNP)
2000-01-05,Hornets,Eddie Jones,,activated from IL
2000-01-05,Sonics,,Lazaro Borrell,placed on IL with right knee patella tendinitis
2000-01-05,Sonics,Jelani McCoy,,activated from IL
2000-01-05,Warriors,,Chris Mills,bone spurs in right ankle (DNP)
2000-01-05,Warriors,Erick Dampier,,activated from IL
2000-01-06,Blazers,,Arvydas Sabonis,upper respiratory infection (DNP)
Date,Team,Acquired,Relinquished,Notes
2000-01-06,Bucks,,Sam Cassell,right ankle tendinitis (DNP)
2000-01-06,Cavaliers,,Trajan Langdon,right knee injury (DNP)
2000-01-06,Heat,,Voshon Lenard,strained left groin (DNP)
2000-01-06,Mavericks,,Gary Trent,strained left groin (DNP)
2000-01-06,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-06,Raptors,,Aleksandar Radojevic,surgery on back to repair bulding disc (out for season)
2000-01-06,Raptors,,Dee Brown (a),flu (DNP)
2000-01-06,Rockets,,Kelvin Cato,sprained right wrist (DNP)
2000-01-06,Timberwolves,Dean Garrett,,activated from IL
2000-01-06,Warriors,,Chris Mills,bone spurs in right ankle (DNP)
2000-01-06,Warriors,,John Starks,right knee tendinitis (DNP)
2000-01-07,Cavaliers,,Trajan Langdon,placed on IL with right knee injury (out for season)
2000-01-07,Hornets,,Eddie Jones,torn ligament in left elbow (DNP)
2000-01-07,Raptors,,Antonio Davis,personal reasons (DNP)
2000-01-07,Raptors,,Dee Brown (a),sore left knee (DNP)
2000-01-07,Rockets,,Tony Massenburg,placed on IL with strained groin
2000-01-07,Sonics,,Vernon Maxwell,placed on IL with right knee surgery
2000-01-07,Sonics,Shammond Williams,,activated from IL
2000-01-07,Timberwolves,,Andrae Patterson,placed on IR with rehab from right knee surgery
2000-01-07,Timberwolves,Bobby Jackson,,activated from IL
2000-01-07,Wizards,,Isaac Austin / Ike Austin,strep throat (DNP)
2000-01-08,Blazers,,Arvydas Sabonis,upper respiratory infection / flu (DNP)
2000-01-08,Bulls,,Randy Brown,sore left knee (DNP)
2000-01-08,Hawks,,Chris Crawford (Lee),bruised left elbow & tailbone (out 2-3 weeks)
2000-01-08,Heat,,Voshon Lenard,strained left groin (DNP)
Date,Team,Acquired,Relinquished,Notes
2000-01-08,Hornets,,Eddie Jones,torn ligament in left elbow (DNP)
2000-01-08,Mavericks,,Gary Trent,strained left groin (DNP)
2000-01-08,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-08,Nets,,Jamie Feick,stomach virus (DNP)
2000-01-08,Pistons,,Jud Buechler,flu (DNP)
2000-01-08,Rockets,,Kelvin Cato,sprained right wrist (DNP)
2000-01-08,Suns,,Oliver Miller,right triceps injury (DNP)
2000-01-08,Wizards,,Isaac Austin / Ike Austin,strep throat (DNP)
2000-01-09,76ers,,Jumaine Jones,placed on IL with plantar fasciatis in left foot
2000-01-09,76ers,Theo Ratliff,,activated from IL
2000-01-09,Celtics,,Adrian Griffin,placed on IL with sprained right ankle
2000-01-09,Celtics,Walter McCarty,,activated from IL
2000-01-09,Raptors,,Dee Brown (a),knee injury (DNP)
2000-01-09,Warriors,,Chris Mills,placed on IL with bone spurs in right ankle
2000-01-09,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-09,Warriors,,John Starks,placed on IL with right knee tendinitis
2000-01-10,Blazers,,Arvydas Sabonis,viral infection (DNP)
2000-01-10,Bulls,,B.J. Armstrong,placed on IL with strained left knee / loose bodies in left knee
2000-01-10,Bulls,,Corey Benjamin,sprained left ankle (DTD)
2000-01-10,Hornets,,Eddie Jones,strained left elbow (DNP)
2000-01-10,Knicks,,Andrew Lang,flu (DNP)
2000-01-10,Mavericks,,Gary Trent,strained left groin (DNP)
2000-01-10,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-10,Nuggets,,Roy Rogers,placed on IL with sprained right knee
2000-01-10,Nuggets,Ronald Jones / Popeye Jones,,activated from IL
Date,Team,Acquired,Relinquished,Notes
2000-01-11,Bulls,,Corey Benjamin,sprained left ankle (DNP)
2000-01-11,Bulls,,Randy Brown,sore left knee (DNP)
2000-01-11,Knicks,,Andrew Lang,flu (DNP)
2000-01-11,Mavericks,,Gary Trent,strained left groin (DNP)
2000-01-11,Mavericks,,Steve Nash,sprained right ankle (DNP)
2000-01-11,Rockets,,Kelvin Cato,sprained right wrist (DNP)
2000-01-11,Suns,,Oliver Miller,right triceps injury (DNP)
2000-01-11,Suns,Corie Blount,,activated from IL
2000-01-11,Timberwolves,Wally Szczerbiak,,activated from IL
2000-01-12,Blazers,,Arvydas Sabonis,viral infection (DNP)
2000-01-12,Clippers,,Tyrone Nesby,family illness (DNP)
2000-01-12,Grizzlies,,Obinna Ekezie,placed on IL with sprained left ankle
2000-01-12,Grizzlies,Doug West,,activated from IL
2000-01-12,Magic,,Monty Williams,placed on IR with bruised lower back
2000-01-12,Magic,Anthony Parker,,activated from IL
2000-01-12,Raptors,,Dee Brown (a),arthroscopic surgery on left knee (out 4-6 weeks)
2000-01-12,Raptors,,Dee Brown (a),left knee injury (DNP)
