Player,Injury_Date,Return_Date,Reason,
Tom Gugliotta,3/11/00,11/17/00,,251
Bonzi Wells,4/10/01,10/30/01,,203
Jamal Crawford,7/18/01,3/3/02,,228
Chris Crawford,11/10/01,11/10/02,,365
Al Harrington,1/24/02,10/30/02,,279
Vitaly Potapenko,4/18/02,12/16/02,,242
Steven Hunter,8/26/02,1/12/03,,139
Felipe Lopez,10/20/02,Game log table not found,DNR,
Jarron Collins,12/13/02,10/29/03,,320
Jared Jeffries,12/26/02,10/29/03,,307
Marcus Fizer,2/1/03,10/29/03,,270
Obinna Ekezie,10/17/03,1/11/05,,452
Pat Garrity,10/27/03,11/3/04,,373
Ben Handlogten,12/31/03,3/11/05,,436
Alex Garcia,12/14/04,Game log table not found,DNR,
Willie Green,8/16/05,11/1/06,,442
Nenê,11/1/05,11/22/06,,386
Robert Swift,10/27/06,10/31/07,,369
Stromile Swift,10/31/06,10/31/07,,365
Nenad Krstic,12/22/06,10/31/07,,313
Tony Allen,1/11/07,11/2/07,,295
D.J. Mbenga,2/8/07,11/18/07,,283
Shaun Livingston,2/27/07,11/2/07,,248
Adam Morrison,10/21/07,10/30/08,,375
Paul Davis,12/21/07,10/29/08,,313
Mickael Gelabale,3/20/08,Game log table not found,DNR,
Jason Smith,8/8/08,10/28/09,,446
Jason Richards,9/8/08,Game log table not found,DNR,
Mike Wilks,10/29/08,11/27/09,,394
Corey Brewer,12/1/08,10/28/09,,331
Michael Redd,1/25/09,10/30/09,,278
Al Jefferson,2/9/09,10/28/09,,261
Leon Powe,4/21/09,10/27/09,,189
Kareem Rush,11/17/09,Game log table not found,DNR,
Josh Howard,2/23/10,10/28/10,,247
Kendrick Perkins,7/12/10,10/26/10,,106
Jeff Ayres,10/8/10,12/26/11,,444
Gani Lawal,1/6/11,Game log table not found,DNR,
David West,3/25/11,12/26/11,,276
Othyus Jeffers,7/17/11,1/24/14,,922
Eric Maynor,1/8/12,11/1/12,,298
Ricky Rubio,3/9/12,11/2/12,,238
Derrick Rose,4/28/12,10/31/12,,186
Iman Shumpert,4/28/12,11/2/12,,188
Baron Davis,5/6/12,Game log table not found,DNR,
Brandon Rush,11/3/12,10/30/13,,361
Lou Williams,1/19/13,10/30/13,,284
Rajon Rondo,1/27/13,10/30/13,,276
Leandro Barbosa,2/12/13,1/8/14,,330
Danilo Gallinari,4/5/13,10/30/13,,208
Nate Robinson,1/31/14,10/29/14,,271
J.J. Hickson,3/22/14,10/29/14,,221
Jabari Parker,12/16/14,10/28/15,,316
Kendall Marshall,1/17/15,10/28/15,,284
Tony Wroten Jr.,1/23/15,10/28/15,,278
Dante Exum,8/6/15,10/25/16,,446
Jarrett Jack,1/3/16,2/25/17,,419
Chris Andersen,12/16/16,Game log table not found,DNR,
Zach LaVine,2/3/17,10/19/17,,258
Brandon Knight,7/25/17,10/18/17,,85
O.G. Anunoby,9/18/17,10/17/18,,394
Kristaps Porzingis,2/6/18,10/17/18,,253
Pau Gasol,3/8/18,10/17/18,,223
Dejounte Murray,10/7/18,10/23/19,,381
Klay Thompson,6/14/19,10/24/19,,132
DeMarcus Cousins,10/22/19,12/26/20,,431
Max Strus,12/23/19,12/23/20,,366
Jeremy Lamb,2/24/20,12/23/20,,303
Jonathan Isaac,8/2/20,10/20/21,,444
Spencer Dinwiddie,12/28/20,10/20/21,,296
Markelle Fultz,1/6/21,10/20/21,,287
Thomas Bryant,1/10/21,10/20/21,,283
Jamal Murray,4/13/21,10/20/21,,190
Dario Saric,7/7/21,10/20/21,,105
P.J. Dozier,11/24/21,1/9/23,,411
Kira Lewis Jr.,12/9/21,12/13/22,,369
Joe Ingles,1/31/22,10/20/22,,262
Montrezl Harrell,8/2/23,Game log table not found,,
Vlatko Cancar,8/5/23,Game log table not found,,
Jay Scrubb,10/8/23,Game log table not found,,
Charles Bassey,12/11/23,Game log table not found,,
Saddiq Bey,3/11/24,Game log table not found,,
