Date,Team,Notes,Status,Player
2000-02-06,Knicks,partially torn ACL in right knee (DTD),Relinquished,Marcus Camby
2000-03-11,Suns,"torn ACL, MCL in left knee (out indefinitely)",Relinquished,Tom Gugliotta
2000-10-22,76ers,torn ACL in left knee (out for season),Relinquished,Craig Claxton / Speedy Claxton
2001-04-10,Blazers,placed on IL with torn ACL in left knee (out for season),Relinquished,Bonzi Wells
2001-07-18,Bulls,torn ACL in left knee,Relinquished,Jamal Crawford
2001-11-10,Hawks,torn ACL in left knee (out for season),Relinquished,Chris Crawford (Lee)
2002-01-24,Pacers,torn ACL in right knee (out for season),Relinquished,Al Harrington
2002-04-18,Celtics,partially torn ACL in left knee (out indefinitely),Relinquished,Vitaly Potapenko
2002-08-19,Jazz,torn ACL in right knee (out for season),Relinquished,Raul Lopez
2002-08-26,Magic,torn ACL in right knee (out indefinitely),Relinquished,Steven Hunter
2002-10-20,Timberwolves,torn MCL and ACL in left knee (out for season),Relinquished,Felipe Lopez
2002-12-13,Jazz,torn ACL and MCL in right knee (out for season),Relinquished,Jarron Collins
2002-12-26,Wizards,placed on IL with torn ACL in right knee (out for season),Relinquished,Jared Jeffries
2003-02-01,Bulls,placed on IL with torn ACL in right knee,Relinquished,Marcus Fizer
2003-10-17,Hawks,torn ACL in right knee (out indefinitely),Relinquished,Obinna Ekezie
2003-10-27,Magic,placed on IL with torn ACL in knee (out indefinitely),Relinquished,Pat Garrity
2003-12-31,Jazz,torn ACL in left knee (out indefinitely),Relinquished,Ben Handlogten
2004-12-14,Hornets,torn ACL in left knee (out for season),Relinquished,Alex Garcia
2005-08-16,76ers,"arthroscopic surgery on left knee to repair torn ACL, torn lateral meniscus (out indefinitely)",Relinquished,Willie Green
2005-11-01,Nuggets,"torn ACL, sprained MCL, and torn meniscus in right knee",Relinquished,Nene / Nene Hilario / Maybyner Hilario
2006-10-27,Sonics,torn ACL in right knee (out for season),Relinquished,Robert Swift
2006-10-31,Grizzlies,placed on IL with torn ACL in right knee,Relinquished,Stromile Swift
2006-12-22,Nets,torn ACL in left knee (out for season),Relinquished,Nenad Krstic
2007-01-11,Celtics,torn ACL in left knee (out for season),Relinquished,Tony Allen
2007-02-08,Mavericks,placed on IL with torn ACL in right knee (out for season),Relinquished,Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga
2007-02-27,Clippers,torn ligaments in left knee (including ACL) and dislocated left kneecap (out for season),Relinquished,Shaun Livingston
2007-10-21,Bobcats,torn ACL in left knee (out for season),Relinquished,Adam Morrison
2007-12-21,Clippers,torn ACL in right knee (out for season),Relinquished,Paul Davis
2008-03-20,Sonics,torn ACL in right knee (out for season),Relinquished,Mickael Gelabale
2008-08-08,76ers,torn ACL in left knee (out indefinitely)),Relinquished,Jason Smith
2008-09-08,Heat,torn ACL in knee (out for season),Relinquished,Jason Richards
2008-10-29,Magic,placed on IL with torn ACL in right knee,Relinquished,Mike Wilks
2008-12-01,Timberwolves,placed on IL with torn ACL in right knee (out for season),Relinquished,Corey Brewer
2009-01-25,Bucks,torn ACL and MCL in left knee (out for season),Relinquished,Michael Redd
2009-02-09,Timberwolves,torn ACL in right knee (out for season),Relinquished,Al Jefferson
2009-04-21,Celtics,torn ACL and meniscus in left knee (out for season),Relinquished,Leon Powe
2009-11-17,Clippers,torn ACL in right knee (out indefinitely),Relinquished,Kareem Rush
2010-02-23,Wizards,torn ACL in left knee (out for season),Relinquished,Josh Howard
2010-07-12,Celtics,surgery on right knee to repair torn ACL (out indefinitely),Relinquished,Kendrick Perkins
2010-10-08,Blazers,torn ACL in right knee (out indefinitely),Relinquished,Jeff Pendergraph / Jeff Ayres
2011-01-06,Suns,torn ACL and partially torn MCL in right knee (out for season),Relinquished,Gani Lawal
2011-03-25,Hornets,placed on IL with torn ACL in left knee (out for season),Relinquished,David West
2011-07-17,Wizards,ACL injury in knee (out indefinitely),Relinquished,Othyus Jeffers
2012-01-08,Thunder,placed on IL with torn ACL in right knee (out for season),Relinquished,Eric Maynor
2012-03-09,Timberwolves,torn ACL in left knee (out for season),Relinquished,Ricky Rubio
2012-04-28,Bulls,torn ACL in left knee (out for season),Relinquished,Derrick Rose
2012-04-28,Knicks,torn lateral meniscus / ACL (CBC) in left knee (out for season),Relinquished,Iman Shumpert
2012-05-06,Knicks,"torn ACL, MCL, and patella tendon in right knee (out for season)",Relinquished,Baron Davis
2012-11-03,Warriors,torn ACL in left knee (out for season),Relinquished,Brandon Rush
2013-01-19,Hawks,placed on IL with torn ACL in right knee (out for season),Relinquished,Louis Williams / Lou Williams
2013-01-27,Celtics,torn ACL in right knee (DNP),Relinquished,Rajon Rondo
2013-02-12,Celtics,torn ACL in left knee (out for season),Relinquished,Leandro Barbosa
2013-04-05,Nuggets,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
2014-01-31,Nuggets,torn ACL in left knee (out indefinitely),Relinquished,Nate Robinson
2014-03-22,Nuggets,torn ACL in right knee (out indefinitely),Relinquished,J.J. Hickson
