,T-Statistic,P-Value
per,1.127658033536664,0.26296598227263634
ts_pct,0.865932167211502,0.3892174958482949
fg3a_per_fga_pct,-4.441804934576327,2.944546021438323e-05
fta_per_fga_pct,1.8545405315216223,0.06749043590229903
trb_pct,0.563376327390361,0.57481564198099
ast_pct,-1.0795615017588187,0.28370750435550723
stl_pct,0.29522706455413444,0.7686150258383235
blk_pct,0.27039902806917776,0.7875767364447029
tov_pct,1.936326508663046,0.05649729457445071
usg_pct,1.905225979572872,0.06048425596623524
ws_per_48,0.6896340895651918,0.49249749571983914
bpm,0.14155024730576932,0.8878049583190857
vorp,1.1129703895219987,0.2691836476405217
gs,2.6443663416797523,0.009914723554102767
mp_per_g,3.2150077032759103,0.0019071278036882128
fga_per_g,2.08346199750238,0.04052745559729499
fg_pct_x,1.2295547039312809,0.22260775688556106
fg3a_per_g,-1.519565559683748,0.1327159097386403
fg3_pct,-1.301152848061235,0.19708618906002778
fg2a_per_g,3.345172576371145,0.0012729883861262198
fg2_pct,-0.5955294922688446,0.5532359843132353
efg_pct,0.3171023008627732,0.7520241848151137
fta_per_g,3.2517140810959213,0.0017033916905835873
ft_pct,0.7064916600070101,0.48201482519702055
orb_per_g,4.867279833064285,5.888241732144757e-06
drb_per_g,1.4380768546463145,0.15446423874644494
trb_per_g,2.6957172943719283,0.008621825480540395
pf_per_g,4.79790236048582,7.692241691327239e-06
pts_per_g,2.0678073479648096,0.042017069059549224
age,-21.552082862312886,2.378348744171676e-34
g,4.1253249254295925,9.279983658251412e-05
mp_y,3.944499521219866,0.00017511298993121269
avg_dist,-4.780453834790248,8.224725900278297e-06
pct_fga_fg2a,4.441761790885631,2.945015696456978e-05
pct_fga_00_03,4.38533426930122,3.625651170349714e-05
pct_fga_03_10,0.8929612947853997,0.374660239043484
pct_fga_10_16,-1.6447752304031358,0.10409290461004622
pct_fga_16_xx,1.1140657439737587,0.26871643458448125
pct_fga_fg3a,-4.441804934576327,2.944546021438323e-05
fg_pct_fg2a,-0.5955294922688446,0.5532359843132353
fg_pct_00_03,-0.6509965005850844,0.5169868004226773
fg_pct_03_10,-0.9312798240078662,0.3546195921185096
fg_pct_10_16,-1.023794114853411,0.30913823983611677
fg_pct_16_xx,-0.7323829954710686,0.46615834234184894
fg_pct_fg3a,-1.301152848061235,0.19708618906002778
pct_fga_dunk,3.8519069136054145,0.00024088990704172517
fg_dunk,3.556971702261614,0.0006457620105404509
pct_fg3a_corner3,-2.9881521862615394,0.003764618392296205
fg_pct_corner3,0.2575880123169589,0.7974120378524228
cluster,-2.2285396416129597,0.028761883900848082
