,T-Statistic,P-Value
per,-0.659707744843035,0.5259613136730072
ts_pct,0.29826215065118794,0.7722743056809006
fg3a_per_fga_pct,-0.6418330774578581,0.5369839839996717
fta_per_fga_pct,0.09704456917594094,0.9248177390980046
trb_pct,1.0609367198703525,0.31635832328282404
ast_pct,-1.1232918959506573,0.29038278141355117
stl_pct,0.45541391614066257,0.659599369073485
blk_pct,-0.8853945638663752,0.3989815356775043
tov_pct,4.372566695146313,0.001790385618432933
usg_pct,0.23331575798079246,0.8207363289623061
ws_per_48,-1.1528585904246773,0.2786676601808971
bpm,-1.1225169702501532,0.2906949887431008
vorp,-0.6747855034654201,0.5167697734570547
gs,0.5319566311446291,0.6076352362723236
mp_per_g,0.5460246576832605,0.5983210242025261
fga_per_g,-0.056634836388553045,0.9560735031692789
fg_pct_x,0.23728553223851065,0.8177485482172837
fg3a_per_g,-0.4755022262587808,0.6457578010110259
fg3_pct,0.0921540309936706,0.9285943206863739
fg2a_per_g,0.1502495612420747,0.8838811272700227
fg2_pct,-0.7223743319134024,0.4884085306670677
efg_pct,0.32318886574928124,0.7539349544384442
fta_per_g,0.8515314025536748,0.4165557048066799
ft_pct,-0.4079600853285268,0.6928373973155386
orb_per_g,1.532508466775239,0.1597610194589239
drb_per_g,-0.3026039825907029,0.7690687414222666
trb_per_g,0.23427006633868452,0.8200178045562703
pf_per_g,2.133090622314962,0.06171066567660862
pts_per_g,-0.023044646778044,0.9821175037912311
age,-8.344553849509776,1.5779533874083423e-05
g,2.0741323227219026,0.06790787198913753
mp_y,1.3222390496683856,0.21870427579844925
avg_dist,-0.8867622542131632,0.39828287383616745
pct_fga_fg2a,0.6418330774578583,0.5369839839996715
pct_fga_00_03,1.4100023358385585,0.19214864538731155
pct_fga_03_10,-1.1776019057995872,0.2691561862828296
pct_fga_10_16,-1.3636163708409714,0.20581907554563425
pct_fga_16_xx,0.7314170463186155,0.4831323835429231
pct_fga_fg3a,-0.6418330774578581,0.5369839839996717
fg_pct_fg2a,-0.7223743319134024,0.4884085306670677
fg_pct_00_03,-1.1260535387323747,0.28927230413035504
fg_pct_03_10,-0.0715083214035983,0.9445570468409881
fg_pct_10_16,-1.7498938962318864,0.11406275566491063
fg_pct_16_xx,0.5450277840822157,0.5989785297182675
fg_pct_fg3a,0.0921540309936706,0.9285943206863739
pct_fga_dunk,0.8036270853845959,0.4423194277602073
fg_dunk,1.1810141254981783,0.2678652276244513
pct_fg3a_corner3,0.16100332193064726,0.8756468935258934
fg_pct_corner3,1.2972253641438192,0.2268187266251638
cluster,-1.0589230237940934,0.31722621249791527
