,,T-Statistic (Injured),P-Value (Injured)
per,1,1.8455093740954531,0.0703491083943526
per,2,0.5459567420563415,0.5873034420637313
per,3,-0.530400610766516,0.59869541414778
per,4,-0.9622253149307491,0.3427303000556837
per,5,-0.04633019184746537,0.9633759418719222
ts_pct,1,0.8907984522374442,0.3769176298835404
ts_pct,2,1.5625380446332227,0.12389744639443562
ts_pct,3,-0.37269636235250675,0.7112942452355481
ts_pct,4,-0.5929996421821333,0.5571055687572826
ts_pct,5,-0.3809208041314174,0.7061369606530961
fg3a_per_fga_pct,1,-3.7612428874645945,0.00041181770530760814
fg3a_per_fga_pct,2,-3.104429316667634,0.0030104983410333503
fg3a_per_fga_pct,3,-2.3896267868556555,0.021546663329015142
fg3a_per_fga_pct,4,-2.270656720605024,0.02961976847556121
fg3a_per_fga_pct,5,-2.035054933952151,0.05141135866352233
fta_per_fga_pct,1,0.6844809960727294,0.49654578097009316
fta_per_fga_pct,2,2.059275125353618,0.044214741192800375
fta_per_fga_pct,3,1.4101091487831745,0.16604906481626025
fta_per_fga_pct,4,1.5247617601246621,0.13656745182944735
fta_per_fga_pct,5,0.17276257625771832,0.8640808353917009
trb_pct,1,0.300731741235864,0.764752974273416
trb_pct,2,0.6818335935784072,0.49820550268168706
trb_pct,3,-1.255312477699667,0.21647306859755652
trb_pct,4,-1.063972101937089,0.29483972461318503
trb_pct,5,0.25062912558565714,0.8039308696086669
ast_pct,1,0.3964439506375903,0.6933115422053885
ast_pct,2,-1.0290082418367652,0.3079799645770831
ast_pct,3,-1.8659511801794817,0.06921326448503094
ast_pct,4,-0.6300766798830407,0.5328564191616103
ast_pct,5,0.533395820157402,0.597968609038256
stl_pct,1,-0.5162231047287871,0.6077679216543459
stl_pct,2,0.301078549908334,0.7644899149657987
stl_pct,3,0.40235648666520807,0.6895117961972342
stl_pct,4,0.4917577063355073,0.6260506440766755
stl_pct,5,2.973130000056299,0.006002848758739694
blk_pct,1,1.0805814945927503,0.2845989239916724
blk_pct,2,-0.923261688562775,0.3599036389129864
blk_pct,3,1.1574193426840969,0.2537996574984206
blk_pct,4,1.1580690048006481,0.25490622026460963
blk_pct,5,0.9275335451656475,0.36157650528829566
tov_pct,1,-0.086687414553912,0.9312348115603385
tov_pct,2,2.134341763328878,0.037287516319137605
tov_pct,3,1.7828389860955747,0.08201780103608393
tov_pct,4,1.4547856963690493,0.15489941153399311
tov_pct,5,0.7204300290347151,0.47723209090164265
usg_pct,1,1.8335136646761014,0.07213957681334825
usg_pct,2,1.1842257642493714,0.24141628742988222
usg_pct,3,0.2905142966809542,0.7728872616155286
usg_pct,4,0.22604301329984747,0.8225213546473689
usg_pct,5,0.5734787784364587,0.5708984224471683
ws_per_48,1,1.5272019111885196,0.13244167363843012
ws_per_48,2,0.35395882135056544,0.7247231101570745
