,,T-Statistic (Matched Controls),P-Value (Matched Controls)
per,1,0.6973514985292679,0.5116851972267098
per,2,-0.22856970466468082,0.8243123716132466
per,3,-1.2207510091030747,0.26170043040315993
per,4,-2.513090124045408,0.05362517855849192
per,5,-1.307343494474443,0.26117905605580855
ts_pct,1,0.387613327525724,0.711679614491282
ts_pct,2,0.6291907068570524,0.544861803842059
ts_pct,3,-1.407603976808543,0.20207024526153808
ts_pct,4,-1.7678340824131644,0.13733024967907398
ts_pct,5,-1.4144816848017112,0.23012667892675473
fg3a_per_fga_pct,1,-2.679218346329801,0.036574239839375126
fg3a_per_fga_pct,2,-0.9859916582654499,0.3499008830954454
fg3a_per_fga_pct,3,-0.20668242456754363,0.8421412050087425
fg3a_per_fga_pct,4,0.26532436677547894,0.8013511881170061
fg3a_per_fga_pct,5,-0.00906284796138605,0.9932029803356637
fta_per_fga_pct,1,-0.25862531712349457,0.8045677851496487
fta_per_fga_pct,2,0.26983595145487094,0.7933715129100452
fta_per_fga_pct,3,0.5403904824585951,0.6056862934677985
fta_per_fga_pct,4,0.0896242670025345,0.932065159739325
fta_per_fga_pct,5,-0.5914839450151227,0.5860053388704383
trb_pct,1,0.9106282976257603,0.39759809727102713
trb_pct,2,1.6280909521320244,0.13794707035224493
trb_pct,3,-0.007658364697492156,0.9941032560037997
trb_pct,4,0.6819844841684597,0.5255524257978317
trb_pct,5,-0.9027547658063366,0.41770423146397534
ast_pct,1,-1.46509904598909,0.19324160068687946
ast_pct,2,-0.7271617541596919,0.4856106822212155
ast_pct,3,-1.5476634016953934,0.1656287055458388
ast_pct,4,-0.8293512540433535,0.4446820388910659
ast_pct,5,1.1912949540290703,0.29939276294993
stl_pct,1,-0.44247952181678063,0.673646841686117
stl_pct,2,0.9057756676906252,0.3886598338959294
stl_pct,3,0.5698049985812386,0.586622946681649
stl_pct,4,-0.8404315968664469,0.4389951025941807
stl_pct,5,0.31789055090570423,0.7664718596764728
blk_pct,1,0.8511123273113692,0.4273626121402009
blk_pct,2,-0.9407867133960006,0.3713776551813974
blk_pct,3,0.13114575218682323,0.8993496126677107
blk_pct,4,0.11883144981359356,0.9100355060921548
blk_pct,5,0.1465487329337853,0.8905774684869857
tov_pct,1,2.0552527513853422,0.08561719375823328
tov_pct,2,2.9140205825507244,0.0171983430322249
tov_pct,3,2.231618030766584,0.06082547618149435
tov_pct,4,4.022156123215296,0.010099219309360613
tov_pct,5,8.540206801926105,0.0010317822753085047
usg_pct,1,1.0406317832657537,0.3381512234769957
usg_pct,2,0.8199424554790654,0.43342639751372625
usg_pct,3,-1.0373485100255984,0.3340731680290893
usg_pct,4,-2.4092281228919497,0.0609221218664334
usg_pct,5,-0.09049988563690968,0.932240652137871
ws_per_48,1,0.48202183399970294,0.6468690329045788
ws_per_48,2,-0.7304173264164927,0.4837138990331662
ws_per_48,3,-1.5592034619318036,0.16291136793028027
ws_per_48,4,-1.7998575308309954,0.13178175199202863
ws_per_48,5,-5.1157677039967755,0.006906410764290022
bpm,1,0.3356220249886361,0.7485806600238736
bpm,2,-0.6897724393856746,0.5077310816589085
bpm,3,-1.3851963697884033,0.20852677373079673
bpm,4,-2.9449894880658305,0.032070814080376916
bpm,5,-0.5101869817401549,0.6367839616513323
vorp,1,0.5153767734752509,0.6247209264521463
vorp,2,-0.10205601162035287,0.9209498566819959
vorp,3,-1.2382206319594509,0.2555471209975664
vorp,4,-2.4026633814217577,0.06141825778655091
vorp,5,-1.6522909842353193,0.17381919817198466
gs,1,-0.5554396344162974,0.5986769353348484
gs,2,0.47954809591279435,0.6429871619830896
gs,3,1.0721805174086856,0.31920577199033107
gs,4,-0.3860168576780164,0.7153631889174581
gs,5,0.1798345922772963,0.8660251475889345
mp_per_g,1,-0.228324991258822,0.8269762035939963
